linelist	teff	tefferr	logg	loggerr	feh	feherr	vt	vterr	loggastero	dloggastero	loggLC	dloggLC	convergence	fixteff	fixlogg	fixfeh	fixvt	outlier	weights	model	refine	EPcrit	RWcrit	ABdiffcrit
HD105779	5781	18	4.49	0.03	-0.23	0.01	0.86	0.03	4.34	0.03	4.44	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD105938	6215	31	4.23	0.05	0.07	0.02	1.52	0.04	3.91	0.05	3.98	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD106290	5995	25	4.47	0.07	0.16	0.02	0.97	0.03	4.24	0.07	4.32	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD106589	5631	28	4.38	0.06	-0.2	0.02	0.73	0.05	4.29	0.06	4.40	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD107094	5539	21	4.46	0.04	-0.5	0.02	0.67	0.04	4.41	0.04	4.52	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD108063	6180	50	4.18	0.08	0.58	0.04	1.61	0.05	3.88	0.08	3.95	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD108341	5153	60	4.44	0.16	0.07	0.04	0.63	0.16	4.54	0.16	4.68	0.16	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD108768	5628	25	4.46	0.08	0.14	0.02	0.83	0.04	4.37	0.08	4.48	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD108935	4739	166	4.25	0.24	0.09	0.11	0.23	1.55	4.51	0.25	4.67	0.25	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD10895 	5657	23	4.49	0.05	-0.26	0.02	0.71	0.05	4.39	0.05	4.49	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD109098	5910	20	4.15	0.03	0.08	0.01	1.25	0.02	3.95	0.03	4.04	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD109271	5802	25	4.28	0.02	0.10	0.02	1.04	0.03	4.12	0.02	4.22	0.02	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD109368	4747	90	4.31	0.18	-0.21	0.04	0.79	0.25	4.56	0.18	4.73	0.18	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD109723	5644	35	4.50	0.10	-0.01	0.03	0.85	0.06	4.40	0.10	4.51	0.10	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD109988	5221	62	4.46	0.18	0.16	0.04	0.76	0.14	4.53	0.18	4.66	0.18	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD110291	5493	30	4.36	0.04	-0.0	0.02	0.66	0.06	4.32	0.04	4.44	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD110557	5306	33	4.33	0.07	-0.02	0.03	0.70	0.07	4.37	0.07	4.50	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD110668	5880	24	4.43	0.06	0.20	0.02	1.01	0.03	4.24	0.06	4.33	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD111564	6013	16	4.34	0.03	0.07	0.01	1.11	0.02	4.10	0.03	4.18	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD112100	5088	49	4.42	0.13	-0.15	0.03	0.47	0.18	4.54	0.13	4.68	0.13	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD112283	6453	74	4.76	0.06	-0.1	0.05	1.71	0.13	4.35	0.07	4.40	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD113101	5470	26	4.35	0.05	-0.06	0.02	0.64	0.05	4.32	0.05	4.44	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD113513	5764	56	4.55	0.08	0.19	0.04	0.86	0.09	4.41	0.08	4.51	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD113569	4996	61	4.37	0.11	-0.17	0.04	0.00	0.84	4.53	0.11	4.68	0.11	False	False	False	False	False	allOnce	null	kurucz95	True	0.001	0.003	0.01
HD11397 	5551	29	4.43	0.05	-0.52	0.02	0.60	0.07	4.37	0.05	4.48	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD114076	5115	36	4.28	0.08	-0.41	0.02	0.23	0.18	4.39	0.08	4.53	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD114561	5795	29	4.45	0.05	-0.08	0.02	0.85	0.04	4.30	0.05	4.39	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD115341	6036	34	4.46	0.06	0.02	0.03	1.00	0.05	4.21	0.06	4.29	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD115499	5544	38	4.42	0.09	0.11	0.03	0.93	0.06	4.36	0.09	4.48	0.09	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD115773	6306	30	4.12	0.04	-0.06	0.02	1.50	0.04	3.77	0.04	3.83	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD115902	5721	22	4.33	0.05	0.02	0.02	0.87	0.03	4.20	0.05	4.31	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD11608 	5000	138	4.24	0.19	0.24	0.10	0.53	0.43	4.39	0.20	4.54	0.20	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD116259	5732	23	4.22	0.03	0.13	0.02	1.02	0.03	4.09	0.03	4.19	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD116284	5241	32	3.83	0.06	0.02	0.03	0.85	0.04	3.89	0.06	4.02	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD116410	5942	22	4.42	0.04	0.23	0.02	1.09	0.03	4.21	0.04	4.29	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD116883	4924	60	4.36	0.15	-0.17	0.03	0.52	0.19	4.54	0.15	4.70	0.15	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD116963	4765	86	4.39	0.24	-0.04	0.05	0.61	0.36	4.64	0.24	4.80	0.24	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD1171  	5305	35	4.39	0.06	-0.48	0.03	0.45	0.10	4.43	0.06	4.56	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD117359	5234	32	4.37	0.07	-0.11	0.02	0.49	0.09	4.43	0.07	4.57	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD117938	4827	69	4.33	0.17	-0.08	0.04	0.56	0.29	4.55	0.17	4.71	0.17	False	False	False	False	False	allOnce	null	kurucz95	True	0.001	0.003	0.01
HD118466	5093	65	4.31	0.14	0.26	0.05	0.42	0.33	4.43	0.14	4.57	0.14	False	False	False	False	False	allOnce	null	kurucz95	True	0.001	0.003	0.01
HD118563	5511	32	4.49	0.06	-0.0	0.02	0.64	0.06	4.45	0.06	4.56	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD119173	5846	46	4.31	0.07	-0.58	0.03	0.68	0.09	4.14	0.07	4.23	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD119291	4684	126	4.15	0.25	-0.08	0.06	0.55	0.49	4.43	0.25	4.60	0.26	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD11938 	4824	94	4.13	0.19	-0.0	0.05	0.92	0.19	4.35	0.19	4.52	0.19	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD119503	4901	79	4.35	0.20	0.03	0.06	0.56	0.27	4.54	0.20	4.70	0.20	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD119629	6285	41	4.23	0.04	-0.1	0.03	1.56	0.06	3.89	0.04	3.95	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD120344	5629	25	4.37	0.05	-0.17	0.02	0.68	0.05	4.28	0.05	4.39	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD120362	5545	54	4.52	0.11	0.18	0.04	0.88	0.09	4.46	0.11	4.58	0.11	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD120491	4708	75	4.40	0.20	-0.33	0.03	0.39	0.44	4.67	0.20	4.84	0.20	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD122308	5260	33	4.42	0.07	-0.3	0.03	0.56	0.09	4.47	0.07	4.61	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD122474	5739	26	4.35	0.04	0.16	0.02	0.90	0.04	4.22	0.04	4.32	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD123319	5615	28	4.50	0.07	-0.47	0.02	0.53	0.07	4.42	0.07	4.52	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD123619	6161	49	4.29	0.06	-0.27	0.03	1.28	0.07	3.99	0.06	4.06	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD123651	5906	39	4.50	0.05	-0.46	0.03	0.93	0.07	4.30	0.05	4.39	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD125271	4816	90	4.24	0.17	-0.15	0.09	0.19	0.83	4.47	0.17	4.63	0.17	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD125522	4852	69	4.43	0.18	-0.4	0.04	0.24	0.40	4.64	0.18	4.80	0.18	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD125595	4733	54	4.22	0.10	0.11	0.02	0.01	0.20	4.48	0.10	4.65	0.10	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD125612	5918	23	4.45	0.05	0.24	0.02	1.02	0.03	4.25	0.05	4.34	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD126681	5599	41	4.68	0.04	-1.1	0.03	0.61	0.14	4.60	0.04	4.71	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD126793	5877	36	4.33	0.04	-0.7	0.03	1.10	0.07	4.14	0.04	4.23	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD126803	5480	26	4.43	0.04	-0.58	0.02	0.38	0.09	4.40	0.04	4.52	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD126829	4706	108	4.33	0.22	-0.13	0.05	0.81	0.28	4.60	0.22	4.77	0.23	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD127124	5086	66	4.33	0.12	-0.02	0.04	0.83	0.12	4.45	0.12	4.60	0.12	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD128113	4982	54	4.30	0.09	-0.11	0.04	0.31	0.26	4.46	0.09	4.61	0.09	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD128431	5450	24	4.39	0.05	-0.27	0.02	0.55	0.06	4.37	0.05	4.49	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD128571	6206	56	4.40	0.04	-0.29	0.04	1.07	0.08	4.09	0.05	4.15	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD129191	5819	28	4.34	0.04	0.24	0.02	0.98	0.03	4.18	0.04	4.27	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD129829	6155	47	4.57	0.08	-0.13	0.03	1.14	0.07	4.28	0.08	4.35	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD130989	6441	47	4.28	0.04	-0.2	0.03	1.79	0.08	3.87	0.04	3.93	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD131183	5693	25	4.20	0.03	0.11	0.02	0.99	0.03	4.09	0.03	4.19	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD131218	5774	26	4.47	0.08	-0.03	0.02	0.88	0.04	4.32	0.08	4.42	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD131565	5618	19	4.41	0.07	-0.16	0.01	0.82	0.03	4.32	0.07	4.43	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD131664	5902	25	4.39	0.06	0.32	0.02	1.06	0.03	4.19	0.06	4.28	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD132411	4704	93	4.29	0.19	-0.26	0.05	0.26	0.61	4.56	0.19	4.73	0.19	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD13252 	5395	33	4.29	0.06	-0.19	0.02	0.66	0.07	4.29	0.06	4.41	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD132569	5032	54	4.49	0.12	-0.25	0.03	0.53	0.17	4.63	0.12	4.78	0.12	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD133633	5592	22	4.44	0.07	-0.42	0.02	0.74	0.04	4.36	0.07	4.47	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD134702	5784	27	4.42	0.07	-0.01	0.02	0.69	0.05	4.27	0.07	4.37	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD134929B	5372	34	4.43	0.14	0.12	0.02	0.64	0.09	4.44	0.14	4.56	0.14	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD135468	6444	46	4.24	0.04	0.03	0.03	1.74	0.06	3.83	0.04	3.89	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD135625	6008	18	4.31	0.03	0.13	0.01	1.12	0.02	4.07	0.03	4.15	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD13578 	5875	25	4.19	0.04	0.00	0.02	1.17	0.03	4.00	0.04	4.10	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD137010	4818	82	4.32	0.19	-0.19	0.05	0.36	0.36	4.55	0.19	4.71	0.19	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD137676	5255	22	3.89	0.04	-0.51	0.02	0.68	0.04	3.95	0.04	4.08	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD138799	5224	45	4.26	0.08	0.04	0.03	0.70	0.10	4.33	0.08	4.46	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD138914	5015	59	4.33	0.11	-0.09	0.04	0.66	0.15	4.48	0.11	4.63	0.11	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD139189	5086	50	4.35	0.13	0.04	0.03	0.73	0.14	4.47	0.13	4.62	0.13	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
