linelist	teff	tefferr	logg	loggerr	feh	feherr	vt	vterr	loggastero	dloggastero	loggLC	dloggLC	convergence	fixteff	fixlogg	fixfeh	fixvt	outlier	weights	model	refine	EPcrit	RWcrit	ABdiffcrit
HD199289	5806	49	4.36	0.05	-0.99	0.03	0.65	0.14	4.20	0.05	4.30	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD199868	6137	28	4.35	0.05	-0.11	0.02	1.24	0.04	4.06	0.05	4.14	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD200083	4872	89	4.42	0.25	-0.06	0.06	0.52	0.38	4.62	0.25	4.78	0.25	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD200143	5135	58	4.48	0.18	0.04	0.03	0.97	0.12	4.58	0.18	4.72	0.18	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD200349	4766	60	4.30	0.14	-0.27	0.03	0.38	0.31	4.55	0.14	4.71	0.14	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD200538	6074	19	4.40	0.05	0.11	0.02	1.23	0.03	4.14	0.05	4.21	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD200633	5816	26	4.43	0.06	0.05	0.02	0.97	0.04	4.27	0.06	4.36	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD201161	4913	101	4.30	0.21	0.06	0.05	0.28	0.62	4.49	0.21	4.64	0.22	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD201422	5881	44	4.59	0.08	-0.1	0.03	1.05	0.07	4.40	0.08	4.49	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD201496	5978	32	4.39	0.04	-0.01	0.02	1.05	0.04	4.16	0.04	4.25	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD2014  	5084	61	4.40	0.15	-0.02	0.04	0.49	0.19	4.52	0.15	4.67	0.15	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD202209	5991	37	4.62	0.03	-0.0	0.03	1.13	0.06	4.39	0.03	4.47	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD202389	4740	75	4.40	0.21	-0.20	0.07	0.00	3.42	4.66	0.21	4.82	0.21	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD202819	4852	99	4.46	0.37	-0.21	0.06	0.62	0.33	4.67	0.37	4.83	0.37	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD202871	6050	20	4.52	0.05	-0.08	0.01	1.01	0.03	4.27	0.05	4.35	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD203335	6254	34	4.47	0.06	-0.01	0.02	1.22	0.05	4.14	0.06	4.20	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD203771	4981	127	4.31	0.20	0.18	0.08	0.39	0.53	4.47	0.21	4.62	0.21	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD203897	5206	33	4.41	0.07	-0.13	0.02	0.47	0.11	4.48	0.07	4.62	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD204287	5725	16	4.09	0.02	-0.04	0.01	1.05	0.02	3.96	0.02	4.06	0.02	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD20492 	4820	115	4.31	0.24	0.09	0.06	0.33	0.67	4.54	0.24	4.70	0.25	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD205294	6363	35	4.18	0.04	-0.22	0.02	1.58	0.05	3.80	0.04	3.86	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD205591	6572	67	4.77	0.06	-0.07	0.04	1.83	0.11	4.31	0.07	4.36	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD206116	6208	38	4.53	0.08	0.27	0.03	1.27	0.04	4.22	0.08	4.28	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD206630	4880	50	4.35	0.15	-0.41	0.03	0.46	0.20	4.55	0.15	4.71	0.15	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD207190	6159	37	4.26	0.04	-0.4	0.02	1.37	0.05	3.96	0.04	4.04	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD207699	4901	70	4.32	0.16	-0.07	0.04	0.55	0.24	4.51	0.16	4.67	0.16	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD207832	5735	26	4.45	0.04	0.16	0.02	0.84	0.04	4.32	0.04	4.42	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD208068	6010	29	4.62	0.03	-0.35	0.02	1.01	0.05	4.38	0.03	4.46	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD20852 	6835	61	4.64	0.05	-0.3	0.04	2.02	0.15	4.08	0.06	4.11	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD208672	5949	35	4.50	0.07	0.16	0.03	0.99	0.05	4.29	0.07	4.37	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD20868 	4925	159	4.38	0.41	0.13	0.10	0.41	0.57	4.56	0.41	4.72	0.42	False	False	False	False	False	allOnce	null	kurucz95	True	0.001	0.003	0.01
HD208   	5889	26	4.39	0.05	-0.31	0.02	1.02	0.04	4.20	0.05	4.29	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD209449	5847	29	4.13	0.04	0.42	0.02	1.18	0.03	3.96	0.04	4.05	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD209566	5548	30	4.38	0.06	0.16	0.02	0.79	0.05	4.32	0.06	4.43	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD210272	5724	23	4.08	0.04	-0.19	0.02	1.14	0.03	3.95	0.04	4.05	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD210320	5651	22	4.30	0.06	0.18	0.02	0.88	0.04	4.20	0.06	4.31	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD210329	4999	54	4.35	0.11	-0.1	0.04	0.33	0.26	4.51	0.11	4.66	0.11	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD210507	5047	53	4.35	0.14	0.09	0.03	0.78	0.14	4.49	0.14	4.63	0.14	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD210573	4938	107	4.49	0.34	-0.01	0.08	0.47	0.38	4.67	0.34	4.82	0.34	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD211188	5072	53	4.42	0.13	-0.11	0.03	0.53	0.16	4.55	0.13	4.69	0.13	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD211317	5979	26	4.29	0.04	0.28	0.02	1.19	0.03	4.06	0.04	4.15	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD21132 	6221	33	4.49	0.05	-0.35	0.02	1.32	0.05	4.17	0.05	4.24	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD211534	5069	51	4.40	0.12	-0.25	0.03	0.21	0.38	4.53	0.12	4.67	0.12	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD211583	4781	67	4.36	0.17	0.09	0.03	0.00	0.22	4.60	0.17	4.77	0.17	False	False	False	False	False	allOnce	null	kurucz95	True	0.001	0.003	0.01
HD21161 	5947	28	4.24	0.05	0.10	0.02	1.15	0.03	4.03	0.05	4.11	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD212036	5711	22	4.37	0.05	0.01	0.02	0.82	0.04	4.25	0.05	4.35	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD212231	5784	23	4.16	0.03	-0.27	0.02	1.03	0.03	4.01	0.03	4.11	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD21251 	4939	61	4.30	0.11	-0.05	0.04	0.59	0.20	4.48	0.11	4.63	0.11	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD212918	5063	52	4.41	0.14	-0.19	0.03	0.33	0.20	4.54	0.14	4.69	0.14	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD213852	5053	85	4.28	0.14	0.18	0.05	0.66	0.21	4.41	0.14	4.56	0.15	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD214094	6295	28	4.24	0.04	-0.0	0.02	1.47	0.04	3.89	0.04	3.95	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD214383	4919	61	4.45	0.22	-0.1	0.03	0.58	0.25	4.64	0.22	4.79	0.22	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD214867	5838	40	4.62	0.07	0.03	0.03	1.28	0.07	4.45	0.07	4.54	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD214954	5744	42	4.31	0.07	0.20	0.04	0.95	0.06	4.18	0.07	4.27	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD214998	4941	77	4.32	0.17	0.12	0.05	0.80	0.20	4.50	0.17	4.65	0.17	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD215497	5114	87	4.34	0.18	0.28	0.05	0.71	0.24	4.45	0.18	4.59	0.18	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD215625	6330	32	4.58	0.05	0.14	0.02	1.34	0.04	4.22	0.05	4.28	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD215722	4762	140	4.38	0.31	-0.01	0.06	0.52	0.50	4.63	0.31	4.79	0.32	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD215902	5481	34	4.33	0.07	-0.22	0.03	0.65	0.07	4.30	0.07	4.42	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD215906	6225	58	4.48	0.06	-0.28	0.04	1.38	0.09	4.16	0.06	4.23	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD216008	5779	23	4.34	0.04	-0.03	0.02	0.93	0.03	4.19	0.04	4.29	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD216215	5232	43	4.37	0.09	-0.19	0.03	0.66	0.07	4.43	0.09	4.57	0.09	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD217221	5233	50	4.44	0.09	0.05	0.03	0.72	0.11	4.50	0.09	4.64	0.09	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD217395	5902	19	4.47	0.04	-0.12	0.01	0.94	0.03	4.27	0.04	4.36	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD21759 	5159	37	4.44	0.08	-0.57	0.03	0.42	0.13	4.53	0.08	4.67	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD217786	5980	24	4.34	0.05	-0.11	0.02	1.10	0.03	4.11	0.05	4.20	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD217958	5991	43	4.47	0.10	0.30	0.03	1.30	0.06	4.24	0.10	4.32	0.10	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD218340	5878	39	4.41	0.07	0.10	0.03	0.93	0.05	4.22	0.07	4.31	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD218379	5948	20	4.13	0.03	0.15	0.02	1.26	0.03	3.92	0.03	4.00	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD218750	5203	55	4.39	0.11	0.11	0.04	0.65	0.14	4.47	0.11	4.60	0.11	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD218885	5735	30	4.36	0.05	-0.24	0.02	0.69	0.06	4.23	0.05	4.33	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD219495	4724	150	4.15	0.26	0.19	0.10	0.71	0.46	4.41	0.27	4.58	0.27	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD21977 	5956	30	4.48	0.06	0.12	0.02	1.01	0.04	4.26	0.06	4.35	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD220456	5870	27	4.47	0.06	0.00	0.02	0.98	0.04	4.29	0.06	4.38	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD220894	6246	28	4.50	0.07	0.03	0.02	1.22	0.04	4.17	0.07	4.24	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD221343	5844	21	4.46	0.06	0.12	0.02	0.96	0.03	4.29	0.06	4.38	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD221638	6394	46	4.60	0.06	-0.19	0.03	1.48	0.07	4.21	0.06	4.27	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD22177 	5686	22	4.21	0.03	0.22	0.02	1.02	0.03	4.10	0.03	4.20	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD221974	5221	84	4.32	0.14	0.32	0.06	0.80	0.17	4.39	0.14	4.52	0.15	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD22249 	5762	26	4.58	0.05	-0.07	0.02	0.95	0.04	4.44	0.05	4.54	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD222721	5346	26	4.28	0.05	-0.28	0.02	0.58	0.06	4.30	0.05	4.43	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD22282 	5458	32	4.23	0.06	0.17	0.03	0.73	0.06	4.21	0.06	4.33	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD223272	5130	99	4.34	0.22	0.13	0.06	0.71	0.20	4.44	0.22	4.59	0.22	False	False	False	False	False	allOnce	null	kurucz95	True	0.001	0.003	0.01
HD223315	5673	35	4.39	0.07	0.33	0.02	0.87	0.05	4.28	0.07	4.39	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD224047	5194	35	4.40	0.08	-0.19	0.02	0.55	0.10	4.48	0.08	4.62	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD224063	5648	25	4.28	0.05	0.19	0.02	0.90	0.04	4.18	0.05	4.29	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD224230	4901	48	4.32	0.12	-0.08	0.02	0.32	0.36	4.51	0.12	4.67	0.12	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD224287	5359	29	4.35	0.07	-0.24	0.02	0.63	0.06	4.37	0.07	4.49	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD224432	4921	60	4.39	0.14	-0.04	0.03	0.77	0.18	4.58	0.14	4.73	0.14	False	False	False	False	False	allOnce	null	kurucz95	True	0.001	0.003	0.01
HD224433	5518	37	4.41	0.06	0.09	0.03	0.76	0.07	4.36	0.06	4.48	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD224578	6154	33	4.57	0.06	0.02	0.02	1.13	0.05	4.28	0.06	4.35	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD224685	5474	28	4.42	0.05	-0.4	0.02	0.67	0.06	4.39	0.05	4.51	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD225297	6163	35	4.53	0.06	-0.08	0.02	1.20	0.05	4.23	0.06	4.30	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD22897 	4862	70	4.35	0.18	-0.22	0.03	0.74	0.19	4.56	0.18	4.72	0.18	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD22918 	4978	52	3.62	0.09	0.04	0.04	0.77	0.09	3.78	0.09	3.94	0.09	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD23030 	5952	46	4.36	0.06	0.23	0.03	1.23	0.05	4.14	0.06	4.23	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD23472 	4829	51	4.33	0.14	-0.17	0.04	0.31	0.40	4.55	0.14	4.71	0.14	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD23901 	5269	23	3.91	0.05	-0.37	0.02	0.79	0.04	3.96	0.05	4.09	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD24062 	6088	46	4.53	0.10	0.27	0.03	1.27	0.06	4.26	0.10	4.34	0.10	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD24085 	6095	33	4.49	0.06	0.19	0.02	1.23	0.04	4.22	0.06	4.29	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD24112 	6186	22	4.33	0.04	0.17	0.02	1.25	0.03	4.02	0.04	4.09	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD24558 	5281	27	4.43	0.06	-0.43	0.02	0.57	0.07	4.48	0.06	4.61	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD24633 	5294	44	4.34	0.07	-0.03	0.03	0.60	0.10	4.38	0.07	4.51	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD25061 	5289	44	4.45	0.11	0.11	0.03	0.78	0.10	4.49	0.11	4.62	0.11	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD25171 	6172	26	4.37	0.04	-0.08	0.02	1.21	0.03	4.07	0.04	4.14	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD25357 	5141	88	4.56	0.24	-0.02	0.05	1.14	0.17	4.66	0.24	4.80	0.24	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD25587 	6332	77	4.73	0.09	-0.08	0.05	1.94	0.15	4.37	0.09	4.43	0.10	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD2567  	6061	24	4.46	0.05	0.24	0.02	1.16	0.03	4.20	0.05	4.28	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD25912 	5890	26	4.52	0.06	0.12	0.02	0.92	0.04	4.33	0.06	4.42	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD26430 	4990	47	4.37	0.10	-0.23	0.03	0.63	0.14	4.53	0.10	4.68	0.10	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD26729 	5706	33	4.13	0.05	0.32	0.03	1.08	0.04	4.01	0.05	4.11	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD26887 	6025	31	4.43	0.04	-0.34	0.02	1.00	0.05	4.19	0.04	4.27	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD27471 	5907	25	4.21	0.04	0.13	0.02	1.19	0.03	4.01	0.04	4.10	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD2768  	5556	25	4.35	0.06	-0.01	0.02	0.78	0.04	4.29	0.06	4.40	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD28254 	5683	32	4.16	0.04	0.38	0.02	1.07	0.04	4.05	0.04	4.15	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD28807 	6586	66	4.56	0.07	0.10	0.04	1.63	0.09	4.10	0.07	4.14	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD28969 	6284	53	4.64	0.07	0.00	0.04	1.43	0.08	4.30	0.07	4.36	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD290038	5050	64	4.43	0.17	0.03	0.04	0.60	0.19	4.57	0.17	4.71	0.17	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD290327	5509	29	4.44	0.04	-0.11	0.02	0.63	0.06	4.40	0.04	4.51	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD29137 	5755	29	4.18	0.03	0.29	0.03	1.08	0.03	4.04	0.03	4.14	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD291763	4982	46	4.47	0.09	-0.61	0.03	0.35	0.05	4.63	0.09	4.78	0.09	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD29263 	5780	26	4.32	0.03	0.03	0.02	0.94	0.04	4.17	0.03	4.27	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD29303 	5800	36	4.42	0.05	-0.08	0.03	0.86	0.06	4.26	0.05	4.36	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD29428 	5717	27	4.50	0.07	-0.06	0.02	0.75	0.04	4.38	0.07	4.48	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD297396	4722	170	4.28	0.30	0.10	0.09	0.20	1.60	4.54	0.31	4.71	0.31	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD29980 	6074	68	4.73	0.09	0.18	0.05	1.61	0.10	4.47	0.09	4.54	0.10	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD29985 	4681	100	4.33	0.24	-0.21	0.04	0.52	0.48	4.61	0.24	4.78	0.24	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD30053 	6115	45	4.39	0.07	-0.21	0.03	1.10	0.07	4.11	0.07	4.19	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD30177 	5633	31	4.33	0.06	0.41	0.02	0.85	0.05	4.24	0.06	4.35	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD30523 	4654	89	4.44	0.40	-0.1	0.06	0.49	0.54	4.73	0.40	4.90	0.40	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD30669 	5433	35	4.37	0.07	0.15	0.02	0.63	0.08	4.36	0.07	4.48	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD30858 	5225	45	4.48	0.10	-0.06	0.03	0.80	0.10	4.55	0.10	4.68	0.10	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD309701	4835	74	4.36	0.19	-0.28	0.04	0.41	0.33	4.58	0.19	4.74	0.19	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD31103 	6072	20	4.51	0.04	0.10	0.01	1.06	0.03	4.25	0.04	4.33	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD31532 	5951	30	4.14	0.04	-0.03	0.02	1.35	0.04	3.93	0.04	4.01	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD3220  	5847	17	4.49	0.04	-0.21	0.01	0.82	0.03	4.32	0.04	4.41	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD3229  	6617	55	4.05	0.12	-0.05	0.04	1.76	0.08	3.58	0.12	3.62	0.12	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD323631	4999	53	4.48	0.12	-0.24	0.07	0.00	2.24	4.64	0.12	4.79	0.12	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD324492	5005	64	4.28	0.11	-0.1	0.04	0.00	0.79	4.43	0.11	4.58	0.11	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD326267	4712	83	4.25	0.16	-0.24	0.08	0.21	0.74	4.52	0.16	4.69	0.16	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD32804 	5904	16	4.47	0.04	0.08	0.01	1.06	0.02	4.27	0.04	4.36	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD329788	5172	39	4.33	0.08	-0.08	0.02	0.44	0.12	4.42	0.08	4.56	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD33081 	6421	80	4.53	0.09	-0.12	0.05	2.14	0.18	4.13	0.01	4.19	0.10	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD33473A	5735	16	3.96	0.03	-0.12	0.01	1.16	0.02	3.83	0.03	3.93	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD33811 	5582	30	4.33	0.06	0.32	0.02	0.81	0.05	4.26	0.06	4.37	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD33822 	5749	28	4.26	0.04	0.26	0.03	1.03	0.04	4.12	0.04	4.22	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD34327 	5852	30	4.07	0.07	-0.06	0.02	1.18	0.04	3.89	0.07	3.99	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD36051 	6165	30	4.63	0.05	-0.03	0.02	1.17	0.04	4.33	0.05	4.40	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD36179 	5317	38	4.42	0.09	-0.06	0.03	0.61	0.09	4.45	0.09	4.58	0.09	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD37226 	6186	28	4.14	0.04	-0.1	0.02	1.55	0.04	3.83	0.04	3.90	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD37548 	5971	27	4.23	0.05	-0.02	0.02	1.19	0.03	4.01	0.05	4.09	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD37990 	6209	28	4.48	0.05	0.03	0.02	1.10	0.04	4.16	0.05	4.23	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD38078 	5654	30	4.41	0.08	-0.24	0.02	0.58	0.06	4.31	0.08	4.42	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD3808  	5580	24	4.41	0.05	-0.14	0.02	0.75	0.04	4.34	0.05	4.45	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
